,Unnamed: 0,ts,ID,DLC,bin
43330,51638,25.224013,357,6,000110010000110000001110000000000000000011110000
19427,51689,25.224188,211,8,0100011000000000111111111111111100001010000000000000000011101011
3172,51690,25.224435,242,8,0000000000000000111111111110111111111110000000000000110100000000
12863,51692,25.224885,189,8,0011001000000010110001110011110010110000110000100000000000000000
17676,51694,25.225333,1F6,8,0000000000100000100000000010010000000000111111111111111111111110
38251,10413,25.225507,62C,2,100111111111110
10100,51696,25.225724,29C,8,0000000000000000000000000000000011111111111111110000000000000000
44583,10394,25.23005,41A,5,1100001000010000101100110101001011001000
46268,51551,25.232097,68B,7,00100100011000100000101011100010000000000000000000000001
7741,51700,25.23263,12E,8,1100101010000000000000010111111111100000111111111111111100000000
32485,51702,25.233052,0C6,8,0111110110001010100000000000101010000000000000011010010001001001
26155,51703,25.233289,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22487,51704,25.233536,17E,8,100011111111
34635,5188,25.233752,5D7,8,1011000100011001101101000011000110100011001000000000000000100010
29164,51705,25.233783,20C,8,1111100011111111111100100001000011111111111100000000000000000000
14612,51706,25.234029,29A,8,111111110
43331,25753,25.234046,357,6,000101100100000000000000000000001100110100000000
17677,51709,25.234644,1F6,8,0000000000100000100000000010010000000000111111111111111111111110
36193,51617,25.234688,4FA,3,000101000100000000000000
12864,51711,25.235094,189,8,0011001000000010110001110011110010110000110000100000000000000000
35541,10340,25.236169,564,3,101000100000000000000000
4972,51716,25.236676,217,8,1111111111111111000000110000000000000000000000000000000001100000
33779,51165,25.238181,3B7,7,01001111000000000000000000000000111111100000000000000000
252,51719,25.238198,5DE,8,1000010
40013,20688,25.2394,392,6,101011010000000011100000111111111111111000000001
47008,51761,25.241714,657,3,110001001100000011000000
7742,51723,25.242629,12E,8,1100101010000000000000010111111111100000111111111111111100000000
32486,51725,25.243049,0C6,8,0111110110001010100000000000000010000000000000011010011001010001
26156,51726,25.243294,17A,8,0011001000000110010100001010101000000000001100000011001000000000
22488,51727,25.243542,17E,8,100011111111
29165,51728,25.243788,20C,8,1111100011111111111100100001000011111111111100000000000000000000
19428,51729,25.244024,211,8,0100011000000000111111111111111100001010000000000000000011101100
43332,51673,25.244079,357,6,000110010000110000001110000000000000000011110000
3173,51730,25.244271,242,8,0000000000000000111111111110111111111110000000000000110100000000
10101,51732,25.244653,29C,8,0000000000000000000000000000000011111111111111110000000000000000
1795,51733,25.244903,354,8,0
12865,51736,25.245516,189,8,0011001000000010110001110011110010110000110000100000000000000000
17678,51739,25.246125,1F6,8,0000000000100000100000000010001100000000111111111111111111111110
47611,51734,25.246715,41D,4,01111100111111001010010000000000
37396,51775,25.252158,218,2,11010110011000
